date,dead (0-19),dead (20-64),dead(65+)
2020-03-20,0,16,86
2020-03-21,0,17,99
2020-03-22,0,19,134
2020-03-23,0,25,148
2020-03-24,1,21,197
2020-03-25,0,39,239
2020-03-26,1,42,295
2020-03-27,0,48,326
2020-03-28,0,49,335
2020-03-29,1,59,405
2020-03-30,0,72,468
2020-03-31,1,69,534
2020-04-01,0,90,608
2020-04-02,1,95,635
2020-04-03,1,91,651
2020-04-04,2,109,727
2020-04-05,0,118,711
2020-04-06,0,94,712
2020-04-07,0,118,791
2020-04-08,1,128,848
2020-04-09,1,130,744
2020-04-10,0,117,733
2020-04-11,1,114,749
2020-04-12,1,105,750
2020-04-13,0,98,707
2020-04-14,0,103,667
2020-04-15,0,94,688
2020-04-16,0,82,671
2020-04-17,1,97,645
2020-04-18,0,71,635
2020-04-19,0,68,620
2020-04-20,1,82,602
2020-04-21,0,82,569
2020-04-22,0,84,559
2020-04-23,0,80,515
2020-04-24,1,48,553
2020-04-25,0,46,508
2020-04-26,1,39,519
2020-04-27,1,51,454
2020-04-28,0,48,450
2020-04-29,0,41,454
2020-04-30,0,48,436
2020-05-01,0,31,448
2020-05-02,0,33,391
2020-05-03,0,20,368
2020-05-04,0,28,384
2020-05-05,0,33,359
2020-05-06,0,26,365
2020-05-07,0,26,373
2020-05-08,0,20,311
2020-05-09,0,21,310
2020-05-10,0,23,277
2020-05-11,0,19,241
2020-05-12,0,19,256
2020-05-13,1,17,238
2020-05-14,0,19,258
2020-05-15,1,15,253
2020-05-16,1,21,246
2020-05-17,1,12,209
2020-05-18,0,13,240
2020-05-19,0,12,219
2020-05-20,0,13,223
2020-05-21,0,14,188
2020-05-22,0,15,180
2020-05-23,0,19,181
2020-05-24,0,9,161
2020-05-25,0,16,159
2020-05-26,0,8,181
2020-05-27,0,12,160
2020-05-28,0,10,172
2020-05-29,0,12,151
2020-05-30,0,5,140
2020-05-31,0,2,111
2020-06-01,0,10,111
2020-06-02,0,14,141
2020-06-03,0,7,131
2020-06-04,0,9,112
2020-06-05,0,6,103
2020-06-06,0,13,86
2020-06-07,1,5,107
2020-06-08,0,9,103
2020-06-09,1,9,75
2020-06-10,0,9,89
2020-06-11,0,6,66
2020-06-12,0,5,68
2020-06-13,0,1,51
2020-06-14,0,2,74
2020-06-15,1,4,57
2020-06-16,1,7,62
2020-06-17,0,5,49
2020-06-18,0,3,54
2020-06-19,0,1,46
2020-06-20,0,3,51
2020-06-21,0,3,44
2020-06-22,0,5,53
2020-06-23,0,5,57
2020-06-24,0,2,65
2020-06-25,0,4,54
2020-06-26,0,4,34
2020-06-27,0,3,38
2020-06-28,0,4,38
2020-06-29,0,7,27
2020-06-30,0,3,40
2020-07-01,0,2,19
2020-07-02,0,6,34
2020-07-03,0,1,26
2020-07-04,0,5,26
2020-07-05,0,4,21
2020-07-06,0,1,34
2020-07-07,0,3,23
2020-07-08,0,1,22
2020-07-09,0,1,34
2020-07-10,0,2,21
2020-07-11,0,2,18
2020-07-12,0,0,13
2020-07-13,0,0,24
2020-07-14,0,2,18
2020-07-15,0,1,19
2020-07-16,0,1,11
2020-07-17,0,2,16
2020-07-18,0,1,14
2020-07-19,0,2,12
2020-07-20,0,1,11
2020-07-21,0,3,17
2020-07-22,0,0,17
2020-07-23,0,0,16
2020-07-24,0,1,5
2020-07-25,0,3,11
2020-07-26,0,2,13
2020-07-27,0,4,8
2020-07-28,0,2,8
2020-07-29,0,2,6
2020-07-30,0,1,7
2020-07-31,0,0,10
2020-08-01,0,2,7
2020-08-02,0,1,7
2020-08-03,0,2,13
2020-08-04,0,3,7
2020-08-05,0,0,3
2020-08-06,0,0,9
2020-08-07,0,3,5
2020-08-08,0,2,9
2020-08-09,0,0,9
2020-08-10,0,1,10
2020-08-11,0,0,10
2020-08-12,0,0,7
2020-08-13,0,0,7
2020-08-14,0,0,6
2020-08-15,0,3,9
2020-08-16,0,2,2
2020-08-17,0,0,12
2020-08-18,0,2,5
2020-08-19,0,0,3
2020-08-20,0,2,6
2020-08-21,0,1,6
2020-08-22,0,2,5
2020-08-23,0,0,15
2020-08-24,0,2,3
2020-08-25,0,2,10
2020-08-26,0,1,10
2020-08-27,0,2,7
2020-08-28,0,1,8
2020-08-29,0,1,4
2020-08-30,0,1,5
2020-08-31,0,2,6
2020-09-01,0,0,4
2020-09-02,0,4,6
2020-09-03,0,1,5
2020-09-04,0,1,7
2020-09-05,0,1,11
2020-09-06,0,0,9
2020-09-07,0,0,13
2020-09-08,0,2,8
2020-09-09,0,0,10
2020-09-10,0,0,12
2020-09-11,0,1,9
2020-09-12,0,2,16
2020-09-13,0,0,15
2020-09-14,0,0,17
2020-09-15,0,2,13
2020-09-16,0,0,23
2020-09-17,0,0,25
2020-09-18,0,2,19
2020-09-19,0,1,18
2020-09-20,0,4,24
2020-09-21,0,1,23
2020-09-22,1,7,27
2020-09-23,0,6,46
2020-09-24,0,4,29
2020-09-25,0,3,27
2020-09-26,0,4,32
2020-09-27,0,5,39
2020-09-28,0,1,46
2020-09-29,0,1,42
2020-09-30,0,2,46
2020-10-01,0,7,49
2020-10-02,0,4,61
2020-10-03,0,3,52
2020-10-04,0,5,49
2020-10-05,0,1,58
2020-10-06,0,5,57
2020-10-07,0,13,68
2020-10-08,0,4,74
2020-10-09,0,9,59
2020-10-10,0,5,86
2020-10-11,0,5,99
2020-10-12,0,8,89
2020-10-13,0,12,75
2020-10-14,0,12,90
2020-10-15,0,13,111
2020-10-16,0,11,111
2020-10-17,0,19,143
2020-10-18,0,10,111
2020-10-19,0,19,140
2020-10-20,0,13,161
2020-10-21,0,12,179
2020-10-22,0,16,171
2020-10-23,0,13,176
2020-10-24,0,18,153
2020-10-25,0,21,186
2020-10-26,1,25,200
2020-10-27,0,21,199
2020-10-28,0,22,216
2020-10-29,0,12,238
2020-10-30,0,23,259
2020-10-31,0,29,254
2020-11-01,1,26,261
2020-11-02,0,26,265
2020-11-03,0,22,271
2020-11-04,0,26,252
2020-11-05,0,21,283
2020-11-06,0,30,304
2020-11-07,0,31,305
2020-11-08,0,34,311
2020-11-09,0,45,360
2020-11-10,0,23,297
2020-11-11,0,31,282
2020-11-12,0,31,322
2020-11-13,0,32,328
2020-11-14,0,23,342
2020-11-15,0,24,361
2020-11-16,0,25,336
2020-11-17,0,20,347
2020-11-18,0,39,401
2020-11-19,1,34,366
2020-11-20,0,42,352
2020-11-21,0,24,376
2020-11-22,0,34,376
2020-11-23,1,31,369
2020-11-24,0,31,379
2020-11-25,0,46,383
2020-11-26,0,40,334
2020-11-27,0,31,338
2020-11-28,2,31,354
2020-11-29,0,34,370
2020-11-30,0,32,333
2020-12-01,0,26,321
2020-12-02,2,17,318
2020-12-03,1,33,374
2020-12-04,0,24,390
2020-12-05,0,33,312
2020-12-06,0,41,316
2020-12-07,0,29,331
2020-12-08,1,30,345
2020-12-09,1,35,340
2020-12-10,0,30,350
2020-12-11,0,36,364
2020-12-12,0,24,354
2020-12-13,0,16,352
2020-12-14,0,40,375
2020-12-15,0,31,360
2020-12-16,0,27,327
2020-12-17,0,31,410
2020-12-18,0,30,406
2020-12-19,0,31,384
2020-12-20,0,34,396
2020-12-21,0,38,460
2020-12-22,0,42,449
2020-12-23,0,31,452
2020-12-24,0,46,444
2020-12-25,0,42,499
2020-12-26,0,63,509
2020-12-27,0,54,531
2020-12-28,0,56,538
2020-12-29,0,53,527
2020-12-30,2,56,571
2020-12-31,1,77,575
